"ind","package","median.a","a.low","a.high","median.h","h.low","h.high"
1,"JAGS",0.0261,0.0181,0.0427,3.4404,1.6912,6.0952
2,"JAGS",0.0197,0.0038,0.069,305.7359,64.9644,2779.3668
3,"JAGS",0.0199,0.0043,0.0687,972.0854,122.8799,22026.4658
4,"JAGS",0.0201,0.004,0.0719,1009.6383,119.651,22026.4658
5,"JAGS",0.0221,0.0082,0.0677,25.6176,11.5319,57.249
6,"JAGS",0.0206,0.0084,0.0527,10.4736,3.6274,20.3165
7,"JAGS",0.0169,0.0072,0.0395,5.1597,0.241,11.5735
8,"JAGS",0.0144,0.0071,0.025,4.722,0.453,11.0929
9,"JAGS",0.0198,0.004,0.0672,300.7322,63.1624,2803.4863
10,"JAGS",0.0191,0.0046,0.059,48.5418,16.6848,137.5203
11,"JAGS",0.0198,0.0044,0.0703,893.1249,109.3081,22026.4658
12,"JAGS",0.0205,0.0084,0.0556,14.1841,5.6997,28.4397
13,"JAGS",0.02,0.0043,0.0631,120.3992,32.4257,594.6221
14,"JAGS",0.0214,0.0061,0.0722,86.3564,30.804,308.6853
15,"JAGS",0.0185,0.0038,0.0537,33.9526,8.501,95.4315
16,"JAGS",0.0202,0.0043,0.0649,492.8802,85.0278,8491.3078
17,"JAGS",0.0205,0.0044,0.066,494.4012,82.477,8647.5231
18,"JAGS",0.0108,0.004,0.0265,7.7505,0.1663,24.1842
19,"JAGS",0.0272,0.015,0.0608,8.2889,3.9864,15.104
20,"JAGS",0.0151,0.0051,0.0356,8.9871,0.506,21.0248
21,"JAGS",0.0208,0.0123,0.0303,5.84,2.5715,11.112
22,"JAGS",0.0157,0.0049,0.0406,16.2839,3.512,38.6369
23,"JAGS",0.0205,0.0077,0.0531,30.5263,12.9494,74.2621
24,"JAGS",0.0203,0.0056,0.0647,31.0069,8.5773,85.1963
25,"JAGS",0.019,0.0037,0.062,97.9515,26.4181,417.0838
26,"JAGS",0.0319,0.0215,0.0976,0.3766,0.0211,1.6408
27,"JAGS",0.0256,0.0181,0.0588,1.479,0.4723,2.919
28,"JAGS",0.0219,0.0196,0.0303,0.2874,0.0239,1.0487
29,"JAGS",0.0202,0.0043,0.0684,996.2411,121.1303,22026.4658
30,"JAGS",0.0206,0.0051,0.0659,210.9126,53.7061,1473.3281
31,"JAGS",0.0229,0.0118,0.0468,7.0313,2.8954,13.4743
32,"JAGS",0.0158,0.0037,0.0453,28.2692,5.8967,77.9465
33,"JAGS",0.0198,0.0041,0.0711,872.1912,99.3771,22026.4658
34,"JAGS",0.0221,0.011,0.0482,5.293,1.7145,10.0695
35,"JAGS",0.0197,0.0041,0.0669,305.3525,63.8046,2976.0073
36,"JAGS",0.0251,0.011,0.0767,12.5053,6.0245,23.2718
37,"JAGS",0.0201,0.0075,0.0476,8.4651,2.0066,17.0633
38,"JAGS",0.0115,0.004,0.0296,9.6379,0.2655,27.6297
39,"JAGS",0.0199,0.0041,0.0678,947.1336,119.9635,22026.4658
40,"JAGS",0.0184,0.0155,0.0209,0.3167,0.0199,1.333
41,"JAGS",0.0236,0.0151,0.0426,1.8899,0.3689,3.7517
42,"JAGS",0.0187,0.0049,0.0607,52.5886,17.8361,163.3649
43,"JAGS",0.0221,0.011,0.0452,7.3275,2.9056,13.8995
44,"JAGS",0.02,0.0042,0.0667,957.1406,121.6428,22026.4658
45,"JAGS",0.033,0.0212,0.0939,1.1759,0.3555,2.2061
46,"JAGS",0.0341,0.0207,0.1017,2.5334,1.2164,4.1096
