campus,method,year,month,day,site,side,zone,transect,classcode,size,depth,observer,count
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,MID,,MESFRAAD,3,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,MID,,MESFRAAD,3.2,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,MID,,MESFRAAD,3.6,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,MID,,MESFRAAD,3.8,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,MID,,MESFRAAD,4,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,MID,,MESFRAAD,4.1,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,MID,,MESFRAAD,4.4,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,MID,,MESFRAAD,4.5,,IAN TANIGUCHI,2
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,MID,,MESFRAAD,4.6,,IAN TANIGUCHI,2
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,MID,,MESFRAAD,4.7,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,MID,,MESFRAAD,5.2,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,MID,,MESFRAAD,5.3,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,MID,,MESFRAAD,6.1,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,MID,,MESFRAAD,6.2,,IAN TANIGUCHI,2
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,MID,,MESFRAAD,6.3,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,MID,,MESFRAAD,6.8,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,MID,,MESFRAAD,7.2,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,MID,,MESFRAAD,7.7,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,MID,,MESFRAAD,7.9,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,MID,,MESFRAAD,8.2,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,MID,,MESFRAAD,8.4,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,MID,,MESFRAAD,8.7,,IAN TANIGUCHI,2
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,MID,,MESFRAAD,8.8,,IAN TANIGUCHI,2
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,MID,,MESFRAAD,10,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,MID,,MESFRAAD,10.8,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,MID,,STRPURAD,3.1,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,MID,,STRPURAD,3.8,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,MID,,STRPURAD,4.3,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,MID,,STRPURAD,4.5,,IAN TANIGUCHI,2
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,MID,,STRPURAD,4.7,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,MID,,STRPURAD,6.2,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,OUTER,,MESFRAAD,2.8,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,OUTER,,MESFRAAD,3.3,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,OUTER,,MESFRAAD,3.6,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,OUTER,,MESFRAAD,4.3,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,OUTER,,MESFRAAD,5.1,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,OUTER,,MESFRAAD,5.5,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,OUTER,,MESFRAAD,6.8,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,OUTER,,MESFRAAD,7.1,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,OUTER,,MESFRAAD,7.7,,CHRIS GOTSCHALK,1
