id,size,class,treatment,density,order,ifrepeat,num_offered,num_left,num_consumed,num_dead,tank_id,unit_id,trial
CL,110,large,urc_medium,16,1,b,16,8,8,NA,1,BD,7
CL,110,large,urc_medium,3,2,,3,0,3,NA,1,BD,2
CL,110,large,urc_medium,26,3,,26,18,8,NA,1,BD,3
CL,110,large,urc_medium,5,4,,5,1,4,NA,1,BD,4
CL,110,large,urc_medium,10,5,,10,0,10,NA,1,BD,5
CL,110,large,urc_medium,2,6,,2,0,2,NA,1,BD,6
N03,97,large,urc_medium,10,1,b,10,4,6,1,1,BI,7
N03,97,large,urc_medium,5,2,,5,2,3,NA,1,BI,2
N03,97,large,urc_medium,3,3,,3,1,2,NA,1,BI,3
N03,97,large,urc_medium,26,4,,26,21,5,NA,1,BI,4
N03,97,large,urc_medium,16,5,,16,8,8,3,1,BI,5
N03,97,large,urc_medium,2,6,,2,0,2,NA,1,BI,6
IV01,149.7,jumbo,urc_large,3,5,,3,0,3,NA,1,TD,7
IV01,149.7,jumbo,urc_large,2,1,,2,1,1,NA,1,TD,2
IV01,149.7,jumbo,urc_large,10,2,,10,3,7,NA,1,TD,3
IV01,149.7,jumbo,urc_large,26,3,,26,18,8,5,1,TD,5
IV01,149.7,jumbo,urc_large,16,4,,16,9,7,NA,1,TD,4
IV01,149.7,jumbo,urc_large,5,6,,5,1,4,1,1,TD,6
IV01,149.7,jumbo,urc_medium,NA,NA,,16,10,6,3,1,TD,special
N21,109,large,urc_small,16,3,,16,7,9,NA,1,TI,8
N21,109,large,urc_small,10,5,,10,3,7,NA,1,TI,9
N21,109,large,urc_small,26,1,,26,10,16,NA,1,TI,7
N21,109,large,urc_small,3,2,,3,0,3,NA,1,TI,5
N21,109,large,urc_small,2,4,,2,0,2,NA,1,TI,4
N21,109,large,urc_small,5,6,,5,0,5,NA,1,TI,6
SCI01,60,small,urc_small,5,1,b,5,3,2,NA,2,TD,7
SCI01,60,small,urc_small,16,2,,16,12,4,NA,2,TD,2
SCI01,60,small,urc_small,26,3,,26,22,4,NA,2,TD,3
SCI01,60,small,urc_small,3,4,,3,1,2,NA,2,TD,4
SCI01,60,small,urc_small,2,5,,2,0,2,NA,2,TD,5
SCI01,60,small,urc_small,10,6,,10,3,7,NA,2,TD,6
Monster,160,jumbo,urc_small,2,1,b,2,0,2,NA,2,TI,7
Monster,160,jumbo,urc_small,16,2,,16,1,15,NA,2,TI,2
Monster,160,jumbo,urc_small,3,3,,3,0,3,NA,2,TI,3
Monster,160,jumbo,urc_small,10,4,,10,0,10,NA,2,TI,4
Monster,160,jumbo,urc_small,5,5,,5,0,5,NA,2,TI,5
Monster,160,jumbo,urc_small,26,6,,26,1,25,NA,2,TI,6
HH02,58,small,urc_large,2,6,b,2,2,0,NA,3,TD,8
HH02,58,small,urc_large,5,1,b,5,5,0,NA,3,TD,7
HH02,58,small,urc_large,3,2,,3,3,0,NA,3,TD,2
HH02,58,small,urc_large,16,3,,16,16,0,1,3,TD,3
HH02,58,small,urc_large,10,4,,10,10,0,1,3,TD,4
HH02,58,small,urc_large,26,5,,2,2,0,NA,3,TD,5
HH06,65.5,small,urc_small,2,5,,2,0,2,NA,3,TI,8
HH06,65.5,small,urc_small,26,1,b,26,24,2,NA,3,TI,7
HH06,65.5,small,urc_small,3,2,,3,2,1,NA,3,TI,3
