"year","month","day","site","side-LTERtransect","zone-LTERreplicate","transect","classcode","size","mpa_status","reserve","year_mpa","count","area"
2003,10,"15","SRI_SOUTH_POINT","E","MID",NA,"STRPURAD",3.1,"SMR","IN",2003,1,NA
2003,10,"15","SRI_SOUTH_POINT","E","MID",NA,"STRPURAD",3.8,"SMR","IN",2003,1,NA
2003,10,"15","SRI_SOUTH_POINT","E","MID",NA,"STRPURAD",4.3,"SMR","IN",2003,1,NA
2003,10,"15","SRI_SOUTH_POINT","E","MID",NA,"STRPURAD",4.5,"SMR","IN",2003,1,NA
2003,10,"15","SRI_SOUTH_POINT","E","MID",NA,"STRPURAD",4.5,"SMR","IN",2003,2,NA
2003,10,"15","SRI_SOUTH_POINT","E","MID",NA,"STRPURAD",4.7,"SMR","IN",2003,1,NA
2003,10,"15","SRI_SOUTH_POINT","E","MID",NA,"STRPURAD",6.2,"SMR","IN",2003,1,NA
2003,10,"15","SRI_SOUTH_POINT","E","OUTER",NA,"STRPURAD",3,"SMR","IN",2003,1,NA
2003,10,"15","SRI_SOUTH_POINT","E","OUTER",NA,"STRPURAD",3.9,"SMR","IN",2003,1,NA
2003,10,"15","SRI_SOUTH_POINT","E","OUTER",NA,"STRPURAD",4,"SMR","IN",2003,1,NA
2003,10,"15","SRI_SOUTH_POINT","E","OUTER",NA,"STRPURAD",4.4,"SMR","IN",2003,1,NA
2003,10,"15","SRI_SOUTH_POINT","E","OUTER",NA,"STRPURAD",4.5,"SMR","IN",2003,1,NA
2003,10,"15","SRI_SOUTH_POINT","E","OUTER",NA,"STRPURAD",4.6,"SMR","IN",2003,1,NA
2003,10,"15","SRI_SOUTH_POINT","E","OUTER",NA,"STRPURAD",4.9,"SMR","IN",2003,1,NA
2003,10,"15","SRI_SOUTH_POINT","E","OUTER",NA,"STRPURAD",5.3,"SMR","IN",2003,1,NA
2003,10,"15","SRI_SOUTH_POINT","E","OUTER",NA,"STRPURAD",5.4,"SMR","IN",2003,1,NA
2003,10,"16","SRI_SOUTH_POINT","E","MID",NA,"STRPURAD",2.4,"SMR","IN",2003,1,NA
2003,10,"16","SRI_SOUTH_POINT","E","MID",NA,"STRPURAD",2.8,"SMR","IN",2003,1,NA
2003,10,"16","SRI_SOUTH_POINT","E","MID",NA,"STRPURAD",3,"SMR","IN",2003,1,NA
2003,10,"16","SRI_SOUTH_POINT","E","MID",NA,"STRPURAD",3.4,"SMR","IN",2003,1,NA
2003,10,"16","SRI_SOUTH_POINT","E","MID",NA,"STRPURAD",4.5,"SMR","IN",2003,1,NA
2003,10,"16","SRI_SOUTH_POINT","E","MID",NA,"STRPURAD",4.6,"SMR","IN",2003,1,NA
2003,10,"16","SRI_SOUTH_POINT","E","MID",NA,"STRPURAD",5.1,"SMR","IN",2003,1,NA
2003,10,"16","SRI_SOUTH_POINT","E","MID",NA,"STRPURAD",5.3,"SMR","IN",2003,1,NA
2003,10,"16","SRI_SOUTH_POINT","E","MID",NA,"STRPURAD",5.7,"SMR","IN",2003,1,NA
2003,10,"16","SRI_SOUTH_POINT","W","MID",NA,"STRPURAD",1.8,"SMR","IN",2003,1,NA
2003,10,"16","SRI_SOUTH_POINT","W","MID",NA,"STRPURAD",1.9,"SMR","IN",2003,1,NA
2003,10,"16","SRI_SOUTH_POINT","W","MID",NA,"STRPURAD",2.3,"SMR","IN",2003,1,NA
2003,10,"16","SRI_SOUTH_POINT","W","MID",NA,"STRPURAD",3.3,"SMR","IN",2003,1,NA
2003,10,"16","SRI_SOUTH_POINT","W","MID",NA,"STRPURAD",3.4,"SMR","IN",2003,1,NA
2003,10,"16","SRI_SOUTH_POINT","W","MID",NA,"STRPURAD",3.8,"SMR","IN",2003,1,NA
