animal_ID,weight1_g,weight2_g,weight3_g
N21,930,937,938
IV01,2725,2739,2744
N03,818,820,822
CL,1214,1222,1226
Monster,2430,2432,2437
SCI01,231,233,230
HH06,240,233,242
HH02,179,233,178
HH15,184,233,185
N08,1859,233,1859
N22,915,233,919
HH16,242,233,242
HH04,539,233,539
HH10,385,233,392
N09,491,233,492
N05,436,233,439
N12,616,233,618
SCI04,599,233,602
HH13,432,233,432
HH21,497,233,499
N04,532,233,533
HH18,195,233,195
SCI02,288,233,288
IV03,1382,233,1388
HH17,188,233,189
N02,433,233,435
HH20,386,233,388
HH09,334,233,335
N01,189,233,189
IV05,716,233,717
N10,466,233,468
LTER,1112,233,1119
N06,1167,233,1171
N11,767,233,767
HH07,328,233,329
HH01,411,233,412
HH08,420,233,418
HH14,210,233,211
HH19,291,233,290
IV02,1578,233,1578
ML,1212,233,1214
HH12,368,233,367
CR01,411,233,413
IV04,2575,233,2576
SCI03,1289,233,1293
