id,sex,last_molt,size,class,treatment,density,order,ifrepeat,finished,num_offered,num_left,num_consumed,num_dead,tank_id,unit_id,trial,food_remaining,starve_hours,discard,notes
HH16,,,64,small,urc_small,3,2,b,notfinished,,,0,,4,BD,,,,,
N05,,,78,medium,urc_large,10,6,b,notfinished,,,0,,5,BD,,,,,
CL,,,110,large,urc_medium,16,1,b,finished,16,8,8,,1,BD,7,,,,
CL,,,110,large,urc_medium,16,1,,finished,16,14,2,,1,BD,1,,,yes,
CL,,,110,large,urc_medium,3,2,,finished,3,0,3,,1,BD,2,,,,
CL,,,110,large,urc_medium,26,3,,finished,26,18,8,,1,BD,3,,,,
CL,,,110,large,urc_medium,5,4,,finished,5,1,4,,1,BD,4,,48,,
CL,,,110,large,urc_medium,10,5,,finished,10,0,10,,1,BD,5,,,,
CL,,,110,large,urc_medium,2,6,,finished,2,0,2,,1,BD,6,,,,
N03,,,97,large,urc_medium,10,1,b,finished,10,4,6,1,1,BI,7,,,,
N03,,,97,large,urc_medium,10,1,,finished,10,9,1,,1,BI,1,,,yes,
N03,,,97,large,urc_medium,5,2,,finished,5,2,3,,1,BI,2,,,,
N03,,,97,large,urc_medium,3,3,,finished,3,1,2,,1,BI,3,,,,
N03,,,97,large,urc_medium,26,4,,finished,26,21,5,,1,BI,4,,48,,
N03,,,97,large,urc_medium,16,5,,finished,16,8,8,3,1,BI,5,,,,
N03,,,97,large,urc_medium,2,6,,finished,2,0,2,,1,BI,6,,,,
IV01,,,149.7,jumbo,urc_large,3,5,,finished,3,0,3,,1,TD,7,,,,
IV01,,,149.7,jumbo,urc_large,2,1,,finished,2,1,1,,1,TD,2,,,,
IV01,,,149.7,jumbo,urc_large,10,2,,finished,10,3,7,,1,TD,3,,,,
IV01,,,149.7,jumbo,urc_large,26,3,,finished,26,18,8,5,1,TD,5,,,,
IV01,,,149.7,jumbo,urc_large,16,4,,finished,16,9,7,,1,TD,4,,48,,home flipped over
IV01,,,149.7,jumbo,urc_large,5,6,,finished,5,1,4,1,1,TD,6,,,,one eaten was diseased; but partially eaten
IV01,,,149.7,jumbo,urc_medium,,,,finished,16,10,6,3,1,TD,special,,,,
N21,,,109,large,urc_small,16,3,,finished,16,7,9,,1,TI,8,,,,
N21,,,109,large,urc_small,10,5,,finished,10,3,7,,1,TI,9,,,,
N21,,,109,large,urc_small,26,1,,finished,26,10,16,,1,TI,7,,,,
N21,,,109,large,urc_small,3,2,,finished,3,0,3,,1,TI,5,,,,
N21,,,109,large,urc_small,2,4,,finished,2,0,2,,1,TI,4,,48,,
N21,,,109,large,urc_small,5,6,,finished,5,0,5,,1,TI,6,,,,
SCI01,,,60,small,urc_small,5,1,b,finished,5,3,2,,2,TD,7,,,,
SCI01,,,60,small,urc_small,5,1,,finished,5,4,1,,2,TD,1,,,yes,
SCI01,,,60,small,urc_small,16,2,,finished,16,12,4,,2,TD,2,,,,
SCI01,,,60,small,urc_small,26,3,,finished,26,22,4,,2,TD,3,,,,
SCI01,,,60,small,urc_small,3,4,,finished,3,1,2,,2,TD,4,,48,,
SCI01,,,60,small,urc_small,2,5,,finished,2,0,2,,2,TD,5,,,,
SCI01,,,60,small,urc_small,10,6,,finished,10,3,7,,2,TD,6,,,,
Monster,,,160,jumbo,urc_small,2,1,b,finished,2,0,2,,2,TI,7,,,,
Monster,,,160,jumbo,urc_small,2,1,,finished,2,1,1,,2,TI,1,,,yes,
Monster,,,160,jumbo,urc_small,16,2,,finished,16,1,15,,2,TI,2,,,,
Monster,,,160,jumbo,urc_small,3,3,,finished,3,0,3,,2,TI,3,,,,
Monster,,,160,jumbo,urc_small,10,4,,finished,10,0,10,,2,TI,4,,48,,
Monster,,,160,jumbo,urc_small,5,5,,finished,5,0,5,,2,TI,5,,,,
Monster,,,160,jumbo,urc_small,26,6,,finished,26,1,25,,2,TI,6,,,,1 out that‰Ûªs partially eaten
HH02,,,58,small,urc_large,2,6,b,finished,2,2,0,,3,TD,8,,,,
HH02,,,58,small,urc_large,5,1,b,finished,5,5,0,,3,TD,7,,,,
HH02,,,58,small,urc_large,5,1,,finished,5,3,2,,3,TD,1,,,yes,1 large present in tank; moved from 
HH02,,,58,small,urc_large,3,2,,finished,3,3,0,,3,TD,2,,,,
HH02,,,58,small,urc_large,16,3,,finished,16,16,0,1,3,TD,3,,,,
HH02,,,58,small,urc_large,10,4,,finished,10,10,0,1,3,TD,4,,48,,1 in brick
HH02,,,58,small,urc_large,26,5,,finished,2,2,0,,3,TD,5,,,,did not receive correct density
HH02,,,58,small,urc_large,2,6,,finished,2,2,0,2,3,TD,6,,,yes,need to discard‰Û_. 
HH06,,,65.5,small,urc_small,2,5,,finished,2,0,2,,3,TI,8,,,,
HH06,,,65.5,small,urc_small,26,1,b,finished,26,24,2,,3,TI,7,,,,
HH06,,,65.5,small,urc_small,26,1,,finished,26,24,2,,3,TI,1,,,yes,
HH06,,,65.5,small,urc_small,3,2,,finished,3,2,1,,3,TI,3,,,,
HH06,,,65.5,small,urc_small,10,3,,finished,10,6,4,,3,TI,5,,,,
HH06,,,65.5,small,urc_small,5,4,,finished,5,3,2,,3,TI,4,,48,,poor water quality
HH06,,,65.5,small,urc_small,16,6,,finished,16,11,5,,3,TI,6,,,,
HH16,,,64,small,urc_large,,,,finished,3,3,0,,4,BD,special,,,,mistakenly given large urchins
HH16,,,64,small,urc_small,26,1,b,finished,27,27,0,1,4,BD,7,,,,
HH16,,,64,small,urc_small,26,1,,finished,5,5,0,,4,BD,1,,,yes,
HH16,,,64,small,urc_small,3,2,,finished,3,2,1,,4,BD,2,,,yes,only starved fo 24 h
HH16,,,64,small,urc_small,5,3,,finished,5,4,1,,4,BD,3,,,,
HH16,,,64,small,urc_small,2,4,,finished,2,2,0,,4,BD,4,,48,,
HH16,,,64,small,urc_small,16,5,,finished,16,15,1,,4,BD,5,,,,
HH16,,,64,small,urc_small,10,6,,finished,10,7,3,,4,BD,6,,,,
N22,,,99,large,urc_large,16,2,,finished,16,16,0,2,4,BI,8,,,,
N22,,,99,large,urc_large,5,5,,finished,5,5,0,,4,BI,9,,,,
N22,,,99,large,urc_large,2,1,,finished,2,2,0,1,4,BI,7,,,,may have had 3 remaining (hence one extra but Gianna said only 2
N22,,,99,large,urc_large,10,3,,finished,10,6,4,,4,BI,5,,,,
N22,,,99,large,urc_large,26,4,,finished,26,26,0,7,4,BI,4,,48,,cinder block rather than normal house‰Û_ still not eating urchins
N22,,,99,large,urc_large,3,6,,finished,3,1,2,1,4,BI,6,,,,1 eaten partially; 1 diseased; cinder block
N08,,,129.1,jumbo,urc_large,3,3,b,finished,3,1,2,,4,TD,8,,,,
N08,,,129.1,jumbo,urc_large,10,1,b,finished,10,7,3,,4,TD,7,,,,
N08,,,129.1,jumbo,urc_large,10,1,,finished,10,6,4,,4,TD,1,,,yes,I dead; included in count of how many came out. 
N08,,,129.1,jumbo,urc_large,26,2,,finished,26,23,3,1,4,TD,2,,,,
N08,,,129.1,jumbo,urc_large,3,3,,finished,3,0,3,,4,TD,3,no,,yes,
N08,,,129.1,jumbo,urc_large,2,4,,finished,2,0,2,,4,TD,4,,48,,
N08,,,129.1,jumbo,urc_large,16,5,,finished,16,11,5,,4,TD,5,,,,
N08,,,129.1,jumbo,urc_large,5,6,,finished,5,2,3,1,4,TD,6,,,,
HH15,,,57,small,urc_medium,10,1,b,finished,10,8,2,1,4,TI,7,,,,
HH15,,,57,small,urc_medium,10,1,,finished,10,10,0,,4,TI,1,,,yes,
HH15,,,57,small,urc_medium,3,2,,finished,3,3,0,,4,TI,2,,,,
HH15,,,57,small,urc_medium,16,3,,finished,16,16,0,1,4,TI,3,,,,
HH15,,,57,small,urc_medium,5,4,,finished,5,4,1,1,4,TI,4,,48,,
HH15,,,57,small,urc_medium,26,5,,finished,26,26,0,4,4,TI,5,,,,
HH15,,,57,small,urc_medium,2,6,,finished,2,0,2,,4,TI,6,,,,
N05,,,78,medium,urc_large,16,5,,finished,16,16,0,7,5,BD,8,,,,
N05,,,78,medium,urc_large,5,4,b,finished,5,5,0,1,5,BD,9,,,,
N05,,,78,medium,urc_large,2,3,,finished,2,2,0,1,5,BD,7,,,,
N05,,,78,medium,urc_large,3,1,,finished,3,3,0,,5,BD,2,,,,
N05,,,78,medium,urc_large,26,2,,finished,26,26,0,4,5,BD,5,,,,
N05,,,78,medium,urc_large,5,4,,finished,5,5,0,,5,BD,3,,,yes,not starved!!! Found prey in tank
N05,,,78,medium,urc_large,10,6,,finished,10,10,0,9,5,BD,6,,,yes,need to discard‰Û_ 
N09,,,82.8,medium,urc_small,16,2,b,finished,16,12,4,,5,BI,8,,,,
N09,,,82.8,medium,urc_small,26,4,b,finished,26,21,5,,5,BI,9,,,,
N09,,,82.8,medium,urc_small,3,5,,finished,3,1,,,5,BI,7,,,,
N09,,,82.8,medium,urc_small,5,1,,finished,5,4,1,,5,BI,2,,,,
N09,,,82.8,medium,urc_small,16,2,,finished,16,13,3,,5,BI,3,,,yes,not starved!!! Found prey in tank
N09,,,82.8,medium,urc_small,2,3,,finished,2,0,2,,5,BI,5,,,,
N09,,,82.8,medium,urc_small,26,4,,finished,26,22,4,2,5,BI,4,,48,yes,2 mussels found in tank during urchin trial
N09,,,82.8,medium,urc_small,10,6,,finished,10,6,4,,5,BI,6,,,,
HH10,,,76,medium,urc_medium,5,2,b,finished,5,3,2,,5,TD,8,,,,
HH10,,,76,medium,urc_medium,16,5,,finished,16,15,1,,5,TD,7,,,,
