   year site size_mm      mass
1  2014 IVEE      25 16.024554
2  2014 IVEE      25 16.024554
3  2014 IVEE      25 16.024554
4  2014 IVEE      25 16.024554
5  2014 IVEE      28 22.294896
6  2014 IVEE      30 27.259456
7  2014 IVEE      30 27.259456
8  2014 IVEE      35 42.716697
9  2014 MOHK      35 42.716697
10 2015 AQUE      35 42.716697
11 2015 AQUE      35 42.716697
12 2015 CARP      35 42.716697
13 2015 CARP      35 42.716697
14 2015 MOHK      30 27.259456
15 2015 MOHK      30 27.259456
16 2015 MOHK      32 32.899694
17 2015 MOHK      35 42.716697
18 2015 MOHK      35 42.716697
19 2015 MOHK      35 42.716697
20 2015 MOHK      35 42.716697
21 2015 MOHK      35 42.716697
22 2016 CARP      35 42.716697
23 2016 MOHK      18  6.152592
24 2017 IVEE      32 32.899694
25 2017 IVEE      35 42.716697
26 2017 IVEE      35 42.716697
27 2017 IVEE      35 42.716697
28 2017 IVEE      35 42.716697
29 2017 IVEE      35 42.716697
30 2020 MOHK      35 42.716697
